robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,rugged,50,7.747,6.936,9.7985,8.207633333333332,2.129801083205422,30
babya,base,blf,rugged,60,8.344999999999999,7.25925,10.4525,8.762333333333334,2.0156867287616267,30
babya,base,blf,rugged,70,9.1735,8.324,10.4525,9.5755,2.0058753485182232,30
babya,base,blf,rugged,80,10.1085,8.968,11.8725,10.358066666666668,2.446748524109065,30
babya,base,blf,rugged,90,11.491499999999998,9.946,12.360750000000001,11.276933333333334,2.2920766360981752,30
babya,base,blf,rugged,100,12.045,10.4155,13.0265,11.758199999999999,2.2542954461695324,30
babya,base,blf,rugged,110,12.6545,10.75475,13.5135,12.154599999999999,2.177307204339564,30
babya,base,blf,rugged,120,13.1585,11.04325,14.1395,12.723133333333333,2.2035667909774945,30
babya,base,blf,rugged,130,13.691,11.22975,14.501750000000001,13.074166666666667,2.3128773404471814,30
babya,base,blf,rugged,140,13.85,12.25525,15.1815,13.555866666666667,2.426708253401392,30
babya,base,blf,rugged,150,14.4635,13.371749999999999,15.63725,14.312766666666667,2.1729548876307025,30
babya,base,blf,rugged,160,15.0815,13.70025,15.99875,14.762766666666666,2.292158171158613,30
babya,base,blf,rugged,170,15.5815,14.542,16.64625,15.365833333333335,2.32054605766555,30
babya,base,blf,rugged,180,16.213,15.013250000000001,17.17225,15.9741,2.223303403527718,30
babya,base,blf,rugged,190,16.994,15.217749999999999,17.518250000000002,16.390633333333334,2.1655004436075203,30
babya,base,blf,rugged,200,17.1355,15.53825,18.195,16.779133333333334,2.187529242891566,30
babya,base,blf,rugged,210,17.3395,15.79375,19.05425,17.2805,2.235336598120414,30
babya,base,blf,rugged,220,17.6455,16.21425,19.49175,17.645166666666668,2.2936107068795804,30
babya,base,blf,rugged,230,18.002000000000002,16.656,19.94525,18.035733333333333,2.3409270037277135,30
babya,base,blf,rugged,240,18.305999999999997,16.656,20.01675,18.2197,2.37269659117914,30
babya,base,blf,rugged,250,18.46,17.05375,20.613500000000002,18.5249,2.447976579643433,30
babya,base,blf,rugged,260,18.579,17.08225,20.66125,18.739266666666666,2.5022724283632902,30
babya,base,blf,rugged,270,18.874,17.08225,21.3475,18.996100000000002,2.6549080814012482,30
babya,base,blf,rugged,280,19.103,17.261499999999998,21.43375,19.15263333333333,2.7373536488460117,30
babya,base,blf,rugged,290,19.261000000000003,17.58475,21.66,19.401766666666667,2.7922132203354555,30
babya,base,blf,rugged,300,19.414,17.6555,21.71975,19.57346666666667,2.774286708368457,30
babya,phi,uncoupled,flat,1,0.9035,0.76725,1.11775,0.9414,0.2288861484789266,30
babya,phi,uncoupled,flat,10,2.113,1.8655,2.43475,2.2664,0.6455610016850086,30
babya,phi,uncoupled,flat,20,2.8755,2.47475,3.28925,2.9566999999999997,0.6766755525717446,30
babya,phi,uncoupled,flat,30,3.067,2.8337499999999998,3.6495,3.2416,0.6336364453119677,30
babya,phi,uncoupled,flat,40,3.1955,2.9805,4.180499999999999,3.6700333333333335,0.9824001040145588,30
babya,phi,uncoupled,flat,50,3.646,3.11475,4.50025,3.912,0.9404611854719526,30
babya,phi,uncoupled,flat,60,3.9725,3.4457500000000003,4.505750000000001,4.076966666666666,0.8423103074419714,30
babya,phi,uncoupled,flat,70,4.220000000000001,3.60925,4.60975,4.305033333333333,0.8863883901320682,30
babya,phi,uncoupled,flat,80,4.453,3.9965,4.758,4.627766666666667,1.0468640422655204,30
babya,phi,uncoupled,flat,90,4.584,4.1305000000000005,5.327500000000001,4.92,1.18275595757215,30
babya,phi,uncoupled,flat,100,4.9725,4.295,5.909,5.2128000000000005,1.2191671945536682,30
babya,phi,uncoupled,flat,110,5.4735,4.641,6.17075,5.5649,1.2682395985421466,30
babya,phi,uncoupled,flat,120,6.1135,4.8545,7.296250000000001,6.171333333333334,1.619429110420756,30
babya,phi,uncoupled,flat,130,6.469,5.4825,7.57975,6.628833333333334,1.7135056842289895,30
babya,phi,uncoupled,flat,140,6.6475,5.79625,8.217500000000001,6.9181333333333335,1.6230932310811998,30
babya,phi,uncoupled,flat,150,7.2355,5.99775,8.3855,7.326233333333334,1.6874335273412704,30
babya,phi,uncoupled,flat,160,7.9455,6.6745,9.0285,7.850533333333333,1.8353159219418689,30
babya,phi,uncoupled,flat,170,8.100000000000001,6.78125,9.778,8.192266666666667,1.9858716827201812,30
babya,phi,uncoupled,flat,180,8.1115,6.95875,10.4295,8.520566666666666,2.141645591649067,30
babya,phi,uncoupled,flat,190,8.481,7.0205,10.637500000000001,8.706266666666666,2.1612905776224403,30
babya,phi,uncoupled,flat,200,8.9375,7.0947499999999994,10.7805,8.980633333333333,2.1603949588352864,30
babya,phi,uncoupled,flat,210,8.9375,7.171749999999999,10.7805,9.187333333333333,2.3954214276598496,30
