robot,variant,coupling,seed,distance,drag_pct,em
ege,phi,uncoupled,16,8.2755,19.4967,0.8797
ege,phi,uncoupled,17,6.2714,74.9267,0.8866
ege,phi,uncoupled,18,8.7808,48.2633,0.8105
ege,phi,uncoupled,19,8.1821,65.5300,0.9442
ege,phi,uncoupled,20,8.1021,55.2000,0.9676
ege,phi,uncoupled,21,7.2375,57.7700,0.9606
ege,phi,uncoupled,22,6.4712,42.1300,0.7270
ege,phi,uncoupled,23,6.8811,72.6867,0.9029
ege,phi,uncoupled,24,7.9851,73.7633,0.8087
ege,phi,uncoupled,25,9.1169,57.3800,0.7937
ege,phi,uncoupled,26,7.0761,40.6800,0.6944
ege,phi,uncoupled,27,8.0802,55.7733,0.9718
ege,phi,uncoupled,28,9.2265,54.8167,0.8570
ege,phi,uncoupled,29,7.1990,45.1800,0.7534
ege,phi,uncoupled,30,7.7630,54.0467,0.9670
ege,phi,uncoupled,31,10.5875,44.8033,0.7853
ege,phi,uncoupled,32,9.7803,53.5733,0.7776
ege,phi,uncoupled,33,7.3635,62.8267,0.9801
ege,phi,uncoupled,34,7.4475,50.8567,0.7567
ege,phi,uncoupled,35,9.3352,17.3867,0.7296
gecko,base,blf,1,13.4754,3.3567,0.8820
gecko,base,blf,2,9.2418,13.3300,0.8704
gecko,base,blf,3,12.6622,8.6967,0.8997
gecko,base,blf,4,9.0451,11.6600,0.8685
gecko,base,blf,5,9.4095,3.1067,0.9085
gecko,base,blf,6,12.3229,9.5767,0.9189
gecko,base,blf,7,9.0475,3.3433,0.8236
gecko,base,blf,8,12.6541,4.9367,0.8978
gecko,base,blf,9,13.4736,10.0400,0.9528
gecko,base,blf,10,8.1326,4.3733,0.9526
gecko,base,blf,11,6.8561,0.1767,0.8817
gecko,base,blf,12,13.0625,2.0067,0.8753
gecko,base,blf,13,9.5416,3.3067,0.9041
gecko,base,blf,14,13.5484,3.1967,0.8721
gecko,base,blf,15,12.8020,13.5533,0.9226
gecko,base,blf,16,12.4133,6.8000,0.9131
gecko,base,blf,17,13.2852,9.3800,0.9068
gecko,base,blf,18,11.5866,3.9067,0.8716
gecko,base,blf,19,12.7961,4.4200,0.8920
gecko,base,blf,20,6.5801,3.2300,0.8455
gecko,base,blf,21,9.2199,5.1633,0.8527
gecko,base,blf,22,8.8315,12.0333,0.8521
gecko,base,blf,23,9.1717,12.7600,0.8611
gecko,base,blf,24,13.4110,11.8133,0.8998
gecko,base,blf,25,12.7038,9.6467,0.8750
gecko,base,blf,26,9.1638,11.1600,0.8873
gecko,base,blf,27,13.3293,6.6067,0.8785
gecko,base,blf,28,12.8357,11.7033,0.8418
gecko,base,blf,29,9.5416,12.4267,0.8754
gecko,base,blf,30,12.4159,2.1433,0.9146
gecko,base,blf,31,13.7046,9.8700,0.8980
gecko,base,blf,32,13.2405,2.9200,0.8964
gecko,base,blf,33,8.7395,3.6033,0.9113
gecko,base,blf,34,8.7886,8.1367,0.9430
gecko,base,blf,35,13.3479,11.7933,0.8837
gecko,phi,uncoupled,1,12.5608,7.2800,0.8929
gecko,phi,uncoupled,2,12.4025,20.8233,0.9235
gecko,phi,uncoupled,3,9.1197,8.2033,0.8637
gecko,phi,uncoupled,4,13.5928,4.2667,0.8509
gecko,phi,uncoupled,5,13.8772,12.2367,0.9266
gecko,phi,uncoupled,6,13.7731,21.1700,0.9062
gecko,phi,uncoupled,7,13.4507,6.5633,0.8781
gecko,phi,uncoupled,8,13.0789,4.0900,0.9141
gecko,phi,uncoupled,9,13.6617,4.4133,0.8776
gecko,phi,uncoupled,10,13.6390,4.4233,0.8629
gecko,phi,uncoupled,11,15.6925,21.0933,0.9370
gecko,phi,uncoupled,12,13.1304,4.2867,0.8936
gecko,phi,uncoupled,13,13.5721,7.8267,0.8769
gecko,phi,uncoupled,14,8.0400,5.5133,0.9160
gecko,phi,uncoupled,15,8.8691,8.2333,0.8289
gecko,phi,uncoupled,16,13.1228,2.5500,0.8603
gecko,phi,uncoupled,17,13.6118,8.4233,0.8953
gecko,phi,uncoupled,18,13.6676,5.9033,0.9012
gecko,phi,uncoupled,19,13.3530,2.8967,0.8881
gecko,phi,uncoupled,20,6.7680,5.9200,0.8811
gecko,phi,uncoupled,21,13.2317,6.2667,0.8832
gecko,phi,uncoupled,22,13.2321,20.5900,0.9033
gecko,phi,uncoupled,23,13.4498,17.2300,0.9207
gecko,phi,uncoupled,24,8.9346,33.3500,0.8912
gecko,phi,uncoupled,25,12.5811,13.3500,0.9011
gecko,phi,uncoupled,26,13.9308,10.8700,0.8724
gecko,phi,uncoupled,27,13.3835,24.1433,0.9051
gecko,phi,uncoupled,28,7.6296,15.8400,0.9287
gecko,phi,uncoupled,29,13.7894,2.3567,0.8628
gecko,phi,uncoupled,30,13.4282,6.3000,0.9348
gecko,phi,uncoupled,31,13.9374,1.9000,0.8910
gecko,phi,uncoupled,32,6.9599,7.8700,0.8772
gecko,phi,uncoupled,33,9.2300,14.0767,0.9274
gecko,phi,uncoupled,34,8.2344,2.3133,0.9168
gecko,phi,uncoupled,35,8.6576,6.7333,0.8944
insect,base,blf,1,8.1618,64.3900,0.9147
insect,base,blf,2,8.2352,61.9567,0.9152
insect,base,blf,3,8.5370,69.1700,0.8696
insect,base,blf,4,7.2651,97.0367,0.8161
insect,base,blf,5,7.2136,71.3033,0.8358
insect,base,blf,6,6.2593,89.1967,0.8017
insect,base,blf,7,6.7603,75.5300,0.8646
insect,base,blf,8,8.3684,77.3700,0.8647
insect,base,blf,9,7.1007,79.6933,0.8365
